Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1049413,2010-12-28,2010-12-28,"10/10","Up, una aventura de altura","Up",https://www.imdb.com/title/tt1049413/,Película,8.3,96,2009,"Animación, Aventura, Comedia, Drama, Familia",1174311,2009-06-05,"Pete Docter, Bob Peterson"
2,tt0167260,2010-12-28,2010-12-28,"10/10","El señor de los anillos: El retorno del rey","The Lord of the Rings: The Return of the King",https://www.imdb.com/title/tt0167260/,Película,9.0,201,2003,"Aventura, Drama, Fantasía",2066741,2003-12-17,"Peter Jackson"
3,tt0257044,2010-12-28,2010-12-28,"10/10","Camino a la perdición","Road to Perdition",https://www.imdb.com/title/tt0257044/,Película,7.7,117,2002,"Crimen, Drama, Suspenso",292281,2002-08-30,"Sam Mendes"
4,tt0292542,2010-12-28,2010-12-28,"10/10","El hijo de la novia","El hijo de la novia",https://www.imdb.com/title/tt0292542/,Película,7.8,123,2001,"Comedia, Drama",16936,2003-01-31,"Juan José Campanella"
5,tt0120737,2010-12-28,2010-12-28,"9,5/10","El señor de los anillos: La comunidad del anillo","The Lord of the Rings: The Fellowship of the Ring",https://www.imdb.com/title/tt0120737/,Película,8.9,178,2001,"Aventura, Drama, Fantasía",2096154,2001-12-21,"Peter Jackson"
6,tt0206634,2010-12-28,2010-12-28,"9/10","Niños del hombre","Children of Men",https://www.imdb.com/title/tt0206634/,Película,7.9,109,2006,"Drama, Ciencia ficción, Suspenso",545634,2006-11-24,"Alfonso Cuarón"
7,tt0311113,2010-12-28,2010-12-28,"9/10","Capitán de mar y guerra: La costa más lejana del mundo","Master and Commander: The Far Side of the World",https://www.imdb.com/title/tt0311113/,Película,7.5,138,2003,"Acción, Aventura, Drama, Guerra",245714,2004-02-04,"Peter Weir"
8,tt0477348,2010-12-28,2010-12-28,"9/10","Sin lugar para los débiles","No Country for Old Men",https://www.imdb.com/title/tt0477348/,Película,8.2,122,2007,"Crimen, Drama, Suspenso",1114503,2008-02-08,"Ethan Coen, Joel Coen"
9,tt0405159,2010-12-28,2010-12-28,"9/10","Golpes del destino","Million Dollar Baby",https://www.imdb.com/title/tt0405159/,Película,8.1,132,2004,"Drama, Deportes",743421,2005-02-18,"Clint Eastwood"
10,tt0468569,2010-12-28,2010-12-28,"9/10","Batman: El caballero de la noche","The Dark Knight",https://www.imdb.com/title/tt0468569/,Película,9.0,152,2008,"Acción, Crimen, Drama, Suspenso",3001718,2008-07-18,"Christopher Nolan"
11,tt0910970,2010-12-28,2010-12-28,"9/10","WALL·E","WALL·E",https://www.imdb.com/title/tt0910970/,Película,8.4,98,2008,"Animación, Aventura, Familia, Ciencia ficción",1253109,2008-07-04,"Andrew Stanton"
12,tt0407887,2010-12-28,2010-12-28,"9/10","Los infiltrados","The Departed",https://www.imdb.com/title/tt0407887/,Película,8.5,151,2006,"Crimen, Drama, Suspenso",1479515,2006-11-17,"Martin Scorsese"
13,tt0266697,2010-12-28,2010-12-28,"9/10","Kill Bill. La venganza (volumen 1)","Kill Bill: Vol. 1",https://www.imdb.com/title/tt0266697/,Película,8.2,111,2003,"Acción, Crimen, Suspenso",1244332,2003-11-28,"Quentin Tarantino"
14,tt0378194,2010-12-28,2010-12-28,,"Kill Bill: Vol. 2","Kill Bill: Vol. 2",https://www.imdb.com/title/tt0378194/,Película,8.0,137,2004,"Acción, Crimen, Suspenso",834325,2004-05-21,"Quentin Tarantino"
15,tt0217869,2010-12-28,2010-12-28,"9/10","El protegido","Unbreakable",https://www.imdb.com/title/tt0217869/,Película,7.3,106,2000,"Drama, Misterio, Ciencia ficción, Suspenso",455210,2000-12-08,"M. Night Shyamalan"
16,tt0369339,2010-12-28,2010-12-28,"9/10","Colateral","Collateral",https://www.imdb.com/title/tt0369339/,Película,7.5,120,2004,"Acción, Crimen, Drama, Suspenso",446916,2004-08-20,"Michael Mann"
17,tt0449059,2010-12-28,2010-12-28,"9/10","Pequeña Miss Sunshine","Little Miss Sunshine",https://www.imdb.com/title/tt0449059/,Película,7.8,101,2006,"Comedia, Drama",535019,2006-11-24,"Jonathan Dayton, Valerie Faris"
18,tt0317248,2010-12-28,2010-12-28,"9/10","Ciudad de Dios","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Película,8.6,130,2002,"Crimen, Drama",833363,2003-05-01,"Fernando Meirelles, Kátia Lund"
19,tt0414993,2010-12-28,2010-12-28,"9/10","La fuente de la vida","The Fountain",https://www.imdb.com/title/tt0414993/,Película,7.2,97,2006,"Drama, Misterio, Romance, Ciencia ficción",252740,2007-03-09,"Darren Aronofsky"
20,tt1125849,2010-12-28,2010-12-28,"9/10","El luchador","The Wrestler",https://www.imdb.com/title/tt1125849/,Película,7.9,109,2008,"Drama, Deportes",324969,2009-02-27,"Darren Aronofsky"
21,tt0198781,2010-12-28,2010-12-28,"9/10","Monsters, Inc.","Monsters, Inc.",https://www.imdb.com/title/tt0198781/,Película,8.1,92,2001,"Animación, Aventura, Comedia, Familia, Fantasía",1021748,2001-12-14,"Pete Docter, David Silverman, Lee Unkrich"
22,tt0190332,2010-12-28,2010-12-28,"9/10","El tigre y el dragón","Wo hu cang long",https://www.imdb.com/title/tt0190332/,Película,7.9,120,2000,"Acción, Aventura, Drama, Fantasía, Romance",287404,2001-02-16,"Ang Lee"
23,tt0369702,2010-12-28,2010-12-28,"9/10","Mar adentro","Mar adentro",https://www.imdb.com/title/tt0369702/,Película,8.0,126,2004,"Biografía, Drama",86789,2005-02-18,"Alejandro Amenábar"
24,tt0211915,2010-12-28,2016-08-25,"9/10","Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915/,Película,8.3,122,2001,"Comedia, Romance",815617,2002-02-22,"Jean-Pierre Jeunet"
25,tt0314331,2010-12-28,2010-12-28,"9/10","Realmente amor","Love Actually",https://www.imdb.com/title/tt0314331/,Película,7.6,135,2003,"Comedia, Drama, Romance",557414,2003-12-05,"Richard Curtis"
26,tt0272338,2010-12-28,2010-12-28,"9/10","Embriagado de amor","Punch-Drunk Love",https://www.imdb.com/title/tt0272338/,Película,7.3,95,2002,"Comedia, Drama, Romance, Suspenso",184728,2003-04-04,"Paul Thomas Anderson"
27,tt0253474,2010-12-28,2010-12-28,"9/10","El pianista","The Pianist",https://www.imdb.com/title/tt0253474/,Película,8.5,150,2002,"Biografía, Drama, Música, Guerra",962504,2003-03-21,"Roman Polanski"
28,tt0230600,2010-12-28,2010-12-28,"9/10","Los otros","The Others",https://www.imdb.com/title/tt0230600/,Película,7.6,101,2001,"Terror, Misterio, Suspenso",408125,2001-11-02,"Alejandro Amenábar"
29,tt0307901,2010-12-28,2010-12-28,"9/10","La hora 25","25th Hour",https://www.imdb.com/title/tt0307901/,Película,7.6,135,2002,"Drama",187351,2003-06-27,"Spike Lee"
30,tt0308055,2010-12-28,2010-12-28,"9/10","El día que mataron a Kennedy","Bobby",https://www.imdb.com/title/tt0308055/,Película,7.0,117,2006,"Biografía, Drama, Historia",43342,2007-08-31,"Emilio Estevez"
31,tt0172495,2010-12-28,2010-12-28,"8,5/10","Gladiador","Gladiator",https://www.imdb.com/title/tt0172495/,Película,8.5,155,2000,"Acción, Aventura, Drama",1747311,2000-05-05,"Ridley Scott"
32,tt0364569,2010-12-28,2010-12-28,"8,5/10","Cinco días para vengarse","Oldeuboi",https://www.imdb.com/title/tt0364569/,Película,8.3,120,2003,"Acción, Drama, Misterio, Suspenso",673948,2003-11-21,"Park Chan-wook"
33,tt0443706,2010-12-28,2010-12-28,"8,5","Zodiaco","Zodiac",https://www.imdb.com/title/tt0443706/,Película,7.7,157,2007,"Crimen, Drama, Misterio, Suspenso",631550,2007-06-01,"David Fincher"
34,tt0167261,2010-12-28,2010-12-28,"8,5/10","El señor de los anillos: Las dos torres","The Lord of the Rings: The Two Towers",https://www.imdb.com/title/tt0167261/,Película,8.8,179,2002,"Aventura, Drama, Fantasía",1862930,2002-12-20,"Peter Jackson"
35,tt1136608,2010-12-28,2010-12-28,"8,5/10","Sector 9","District 9",https://www.imdb.com/title/tt1136608/,Película,7.9,112,2009,"Acción, Ciencia ficción, Suspenso",733386,2009-10-16,"Neill Blomkamp"
36,tt0338013,2010-12-28,2010-12-28,"8,5/10","Eterno resplandor de una mente sin recuerdos","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013/,Película,8.3,108,2004,"Drama, Romance, Ciencia ficción",1130529,2004-03-19,"Michel Gondry"
37,tt0443680,2010-12-28,2010-12-28,"8,5/10","El asesinato de Jesse James por el cobarde Robert Ford","The Assassination of Jesse James by the Coward Robert Ford",https://www.imdb.com/title/tt0443680/,Película,7.5,160,2007,"Biografía, Crimen, Drama, Historia, Oeste",197549,2007-11-16,"Andrew Dominik"
38,tt0317705,2010-12-28,2010-12-28,"8,5/10","Los increíbles","The Incredibles",https://www.imdb.com/title/tt0317705/,Película,8.0,115,2004,"Animación, Acción, Aventura, Familia",849531,2004-12-17,"Brad Bird"
39,tt0268126,2010-12-28,2010-12-28,"8,5/10","El ladrón de orquídeas","Adaptation.",https://www.imdb.com/title/tt0268126/,Película,7.7,115,2002,"Comedia, Drama",208235,2003-02-21,"Spike Jonze"
40,tt0498380,2010-12-28,2010-12-28,"8,5/10","Cartas desde Iwo Jima","Letters from Iwo Jima",https://www.imdb.com/title/tt0498380/,Película,7.8,141,2006,"Acción, Aventura, Drama, Historia, Guerra",173320,2007-02-16,"Clint Eastwood"
41,tt0266543,2010-12-28,2010-12-28,"8,5/10","Buscando a Nemo","Finding Nemo",https://www.imdb.com/title/tt0266543/,Película,8.2,100,2003,"Animación, Aventura, Comedia, Familia",1154064,2003-07-04,"Andrew Stanton, Lee Unkrich"
42,tt0209144,2010-12-28,2010-12-28,"8,5/10","Amnesia","Memento",https://www.imdb.com/title/tt0209144/,Película,8.4,113,2000,"Misterio, Suspenso",1371875,2001-07-13,"Christopher Nolan"
43,tt0416320,2010-12-28,2010-12-28,"8,5/10","La provocación","Match Point",https://www.imdb.com/title/tt0416320/,Película,7.6,124,2005,"Drama, Romance, Suspenso",233124,2006-04-21,"Woody Allen"
44,tt0363226,2010-12-28,2010-12-28,"8,5/10","Zatôichi","Zatôichi",https://www.imdb.com/title/tt0363226/,Película,7.4,116,2003,"Acción, Comedia, Crimen, Drama, Suspenso",52397,2003-09-06,"Takeshi Kitano"
45,tt0265666,2010-12-28,2010-12-28,"8,5/10","Los excéntricos Tenenbaums","The Royal Tenenbaums",https://www.imdb.com/title/tt0265666/,Película,7.6,110,2001,"Comedia, Drama",321415,2002-03-15,"Wes Anderson"
46,tt0203009,2010-12-28,2010-12-28,"8,5/10","Amor en rojo","Moulin Rouge!",https://www.imdb.com/title/tt0203009/,Película,7.6,127,2001,"Drama, Musical, Romance",306430,2001-08-24,"Baz Luhrmann"
47,tt0330229,2010-12-28,2010-12-28,"8,5/10","Dôruzu","Dôruzu",https://www.imdb.com/title/tt0330229/,Película,7.5,114,2002,"Drama, Romance",17641,2003-09-26,"Takeshi Kitano"
48,tt0246578,2010-12-28,2010-12-28,"8,5/10","Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578/,Película,8.0,113,2001,"Drama, Misterio, Ciencia ficción, Suspenso",878374,2001-01-19,"Richard Kelly"
49,tt0887912,2010-12-28,2010-12-28,"8/10","Zona de miedo","The Hurt Locker",https://www.imdb.com/title/tt0887912/,Película,7.5,131,2008,"Drama, Suspenso, Guerra",483457,2010-02-12,"Kathryn Bigelow"
50,tt0327056,2010-12-28,2010-12-28,"8/10","Río místico","Mystic River",https://www.imdb.com/title/tt0327056/,Película,7.9,138,2003,"Crimen, Drama, Misterio, Suspenso",501880,2003-12-05,"Clint Eastwood"
51,tt0292963,2010-12-28,2010-12-28,"8/10","Antes que el diablo sepa que has muerto","Before the Devil Knows You're Dead",https://www.imdb.com/title/tt0292963/,Película,7.3,117,2007,"Crimen, Drama, Suspenso",116346,2008-03-28,"Sidney Lumet"
52,tt0316356,2010-12-28,2010-12-28,"8/10","Pacto de justicia","Open Range",https://www.imdb.com/title/tt0316356/,Película,7.4,139,2003,"Acción, Drama, Romance, Oeste",81080,2004-01-16,"Kevin Costner"
53,tt0162222,2010-12-28,2010-12-28,"8/10","Náufrago","Cast Away",https://www.imdb.com/title/tt0162222/,Película,7.8,143,2000,"Aventura, Drama, Romance",662284,2001-01-26,"Robert Zemeckis"
54,tt1010048,2010-12-28,2010-12-28,"8/10","Quisiera ser millonario","Slumdog Millionaire",https://www.imdb.com/title/tt1010048/,Película,8.0,120,2008,"Crimen, Drama, Romance",893458,2009-02-20,"Danny Boyle, Loveleen Tandan"
55,tt0372784,2010-12-28,2010-12-28,"8/10","Batman inicia","Batman Begins",https://www.imdb.com/title/tt0372784/,Película,8.2,140,2005,"Acción, Crimen, Drama, Suspenso",1638115,2005-06-17,"Christopher Nolan"
56,tt0472043,2010-12-28,2010-12-28,"8/10","Apocalypto","Apocalypto",https://www.imdb.com/title/tt0472043/,Película,7.8,139,2006,"Acción, Aventura, Drama, Suspenso",343382,2007-01-26,"Mel Gibson"
57,tt0497116,2015-10-13,2015-10-13,"8/10","Una verdad incómoda","An Inconvenient Truth",https://www.imdb.com/title/tt0497116/,Película,7.4,96,2006,"Documental",85960,2006-12-08,"Davis Guggenheim"
58,tt0405094,2010-12-28,2010-12-28,"8/10","La vida de los otros","Das Leben der Anderen",https://www.imdb.com/title/tt0405094/,Película,8.4,137,2006,"Drama, Misterio, Suspenso",425831,2007-03-16,"Florian Henckel von Donnersmarck"
59,tt0399146,2010-12-28,2010-12-28,"8/10","Una historia violenta","A History of Violence",https://www.imdb.com/title/tt0399146/,Película,7.4,96,2005,"Acción, Crimen, Drama, Suspenso",263243,2005-11-25,"David Cronenberg"
60,tt1205489,2010-12-28,2010-12-28,"8/10","Gran Torino","Gran Torino",https://www.imdb.com/title/tt1205489/,Película,8.1,116,2008,"Drama",836110,2009-03-27,"Clint Eastwood"
61,tt0469494,2010-12-28,2010-12-28,"8/10","Petróleo sangriento","There Will Be Blood",https://www.imdb.com/title/tt0469494/,Película,8.2,158,2007,"Drama",666922,2008-02-22,"Paul Thomas Anderson"
62,tt0421715,2010-12-28,2010-12-28,"8/10","El curioso caso de Benjamin Button","The Curious Case of Benjamin Button",https://www.imdb.com/title/tt0421715/,Película,7.8,166,2008,"Drama, Fantasía, Romance",718607,2009-01-16,"David Fincher"
63,tt0212720,2010-12-28,2010-12-28,"8/10","Inteligencia artificial","A.I. Artificial Intelligence",https://www.imdb.com/title/tt0212720/,Película,7.2,146,2001,"Aventura, Drama, Ciencia ficción",330342,2001-08-10,"Steven Spielberg"
64,tt0289043,2010-12-28,2010-12-28,"8/10","Exterminio","28 Days Later",https://www.imdb.com/title/tt0289043/,Película,7.5,113,2002,"Drama, Terror, Ciencia ficción, Suspenso",471362,2003-08-15,"Danny Boyle"
65,tt0381061,2010-12-28,2010-12-28,"8/10","Casino Royale","Casino Royale",https://www.imdb.com/title/tt0381061/,Película,8.0,144,2006,"Acción, Aventura, Suspenso",715029,2006-12-08,"Martin Campbell"
66,tt0465551,2010-12-28,2010-12-28,"8/10","Escándalo","Notes on a Scandal",https://www.imdb.com/title/tt0465551/,Película,7.4,92,2006,"Crimen, Drama, Romance, Suspenso",87036,2007-02-23,"Richard Eyre"
67,tt0389557,2010-12-28,2010-12-28,"8/10","La lista negra","Zwartboek",https://www.imdb.com/title/tt0389557/,Película,7.7,145,2006,"Drama, Suspenso, Guerra",82037,2007-11-02,"Paul Verhoeven"
68,tt0401792,2010-12-28,2010-12-28,"8/10","La ciudad del pecado","Sin City",https://www.imdb.com/title/tt0401792/,Película,8.0,124,2005,"Crimen, Suspenso",805792,2005-07-22,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
69,tt0208092,2015-10-13,2015-10-13,"8/10","Snatch. Cerdos y diamantes","Snatch",https://www.imdb.com/title/tt0208092/,Película,8.2,104,2000,"Comedia, Crimen",941652,2001-03-21,"Guy Ritchie"
70,tt0499549,2010-12-28,2010-12-28,"8/10","Avatar","Avatar",https://www.imdb.com/title/tt0499549/,Película,7.9,162,2009,"Acción, Aventura, Fantasía, Ciencia ficción",1425694,2009-12-17,"James Cameron"
71,tt0299658,2010-12-28,2010-12-28,"8/10","Chicago","Chicago",https://www.imdb.com/title/tt0299658/,Película,7.2,113,2002,"Comedia, Crimen, Musical",249489,2003-02-28,"Rob Marshall"
72,tt1242422,2010-12-28,2010-12-28,"8/10","Celda 211","Celda 211",https://www.imdb.com/title/tt1242422/,Película,7.6,113,2009,"Acción, Crimen, Drama, Suspenso",72326,2010-06-25,"Daniel Monzón"
73,tt0918927,2010-12-28,2010-12-28,"8/10","La duda","Doubt",https://www.imdb.com/title/tt0918927/,Película,7.5,104,2008,"Drama, Misterio",140942,2009-02-20,"John Patrick Shanley"
74,tt0381681,2010-12-28,2010-12-28,"8/10","Antes del atardecer","Before Sunset",https://www.imdb.com/title/tt0381681/,Película,8.1,80,2004,"Drama, Romance",300459,2004-07-30,"Richard Linklater"
75,tt1077258,2010-12-28,2010-12-28,"8/10","Planeta terror","Planet Terror",https://www.imdb.com/title/tt1077258/,Película,7.0,105,2007,"Acción, Comedia, Terror, Suspenso",227977,2008-06-13,"Robert Rodriguez"
76,tt1182345,2010-12-28,2010-12-28,"8/10","En la Luna","Moon",https://www.imdb.com/title/tt1182345/,Película,7.8,97,2009,"Drama, Misterio, Ciencia ficción",384880,2010-07-09,"Duncan Jones"
77,tt0427944,2010-12-28,2010-12-28,"8/10","Gracias por fumar","Thank You for Smoking",https://www.imdb.com/title/tt0427944/,Película,7.5,92,2005,"Comedia, Drama",232131,2006-08-11,"Jason Reitman"
78,tt0433383,2010-12-28,2010-12-28,"8/10","Buenas noches, buena suerte","Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/,Película,7.4,93,2005,"Biografía, Drama, Historia",102761,2006-03-17,"George Clooney"
79,tt0266308,2010-12-28,2010-12-28,"8/10","Juego Sangriento","Batoru rowaiaru",https://www.imdb.com/title/tt0266308/,Película,7.5,114,2000,"Aventura, Drama, Suspenso",200222,2001-01-18,"Kinji Fukasaku"
80,tt0907657,2010-12-28,2010-12-28,"8/10","Once","Once",https://www.imdb.com/title/tt0907657/,Película,7.8,86,2006,"Drama, Música, Musical, Romance",123082,2007-03-23,"John Carney"
81,tt0376541,2010-12-28,2010-12-28,"8/10","Closer. Llevados por el deseo","Closer",https://www.imdb.com/title/tt0376541/,Película,7.2,104,2004,"Drama, Romance",243551,2005-01-14,"Mike Nichols"
82,tt0276919,2010-12-28,2010-12-28,"8/10","Dogville","Dogville",https://www.imdb.com/title/tt0276919/,Película,8.0,171,2003,"Crimen, Drama",163395,2004-01-23,"Lars von Trier"
83,tt0280491,2010-12-28,2010-12-28,"8/10","Domingo sangriento","Bloody Sunday",https://www.imdb.com/title/tt0280491/,Película,7.6,111,2002,"Drama, Historia, Guerra",26173,2002-04-19,"Paul Greengrass"
84,tt0404203,2010-12-28,2010-12-28,"8/10","Secretos íntimos","Little Children",https://www.imdb.com/title/tt0404203/,Película,7.5,137,2006,"Drama, Romance",119338,2007-02-23,"Todd Field"
85,tt0159365,2010-12-28,2010-12-28,"8/10","Regreso a Cold Mountain","Cold Mountain",https://www.imdb.com/title/tt0159365/,Película,7.2,154,2003,"Aventura, Drama, Romance, Guerra",160152,2004-02-20,"Anthony Minghella"
86,tt0440963,2010-12-28,2010-12-28,"8/10","Bourne: El ultimátum","The Bourne Ultimatum",https://www.imdb.com/title/tt0440963/,Película,8.0,115,2007,"Acción, Misterio, Suspenso",669872,2007-09-07,"Paul Greengrass"
87,tt0475276,2010-12-28,2010-12-28,"8/10","Vuelo 93","United 93",https://www.imdb.com/title/tt0475276/,Película,7.6,111,2006,"Acción, Drama, Historia, Suspenso",113056,2006-08-18,"Paul Greengrass"
88,tt0490204,2010-12-28,2010-12-28,"8/10","La esperanza vive en mí","Reign Over Me",https://www.imdb.com/title/tt0490204/,Película,7.4,124,2007,"Drama",100932,2007-06-15,"Mike Binder"
89,tt0783233,2010-12-28,2010-12-28,"8/10","Expiación, deseo y pecado","Atonement",https://www.imdb.com/title/tt0783233/,Película,7.8,123,2007,"Drama, Misterio, Romance, Guerra",312275,2008-02-08,"Joe Wright"
90,tt0287467,2010-12-28,2010-12-28,"8/10","Hable con ella","Hable con ella",https://www.imdb.com/title/tt0287467/,Película,7.9,112,2002,"Drama, Misterio, Romance",119724,2002-11-08,"Pedro Almodóvar"
91,tt0372588,2010-12-28,2010-12-28,"8/10","Team America: Policía Mundial","Team America: World Police",https://www.imdb.com/title/tt0372588/,Película,7.2,98,2004,"Acción, Comedia",181882,2005-02-11,"Trey Parker"
92,tt0126029,2010-12-28,2010-12-28,"8/10","Shrek","Shrek",https://www.imdb.com/title/tt0126029/,Película,7.9,90,2001,"Animación, Aventura, Comedia, Familia, Fantasía, Romance",768515,2001-06-29,"Andrew Adamson, Vicky Jenson"
93,tt0250258,2010-12-28,2010-12-28,"8/10","El experimento","Das Experiment",https://www.imdb.com/title/tt0250258/,Película,7.7,120,2001,"Drama, Suspenso",97569,2002-11-15,"Oliver Hirschbiegel"
94,tt0460791,2010-12-28,2010-12-28,"8/10","The Fall","The Fall",https://www.imdb.com/title/tt0460791/,Película,7.8,117,2006,"Aventura, Drama, Fantasía",122211,2008-05-30,"Tarsem Singh"
95,tt0344510,2010-12-28,2010-12-28,"8/10","Amor eterno","Un long dimanche de fiançailles",https://www.imdb.com/title/tt0344510/,Película,7.6,133,2004,"Drama, Misterio, Romance, Guerra",76824,2005-03-18,"Jean-Pierre Jeunet"
96,tt0482571,2015-10-13,2015-10-13,"8/10","El gran truco","The Prestige",https://www.imdb.com/title/tt0482571/,Película,8.5,130,2006,"Drama, Misterio, Ciencia ficción, Suspenso",1505690,2006-11-03,"Christopher Nolan"
97,tt1029234,2022-01-17,2022-02-07,"8/10","Mártires","Martyrs",https://www.imdb.com/title/tt1029234/,Película,7.0,99,2008,"Terror",112923,2008-09-03,"Pascal Laugier"
98,tt0365748,2015-10-13,2015-10-13,"8/10","El desesperar de los muertos","Shaun of the Dead",https://www.imdb.com/title/tt0365748/,Película,7.9,99,2004,"Comedia, Terror",616650,2004-04-09,"Edgar Wright"
99,tt0290673,2021-10-04,2022-02-07,"8/10","Irreversible","Irréversible",https://www.imdb.com/title/tt0290673/,Película,7.3,97,2002,"Crimen, Drama, Misterio, Suspenso",154301,2003-12-24,"Gaspar Noé"
100,tt0371746,2015-10-13,2015-10-13,"8/10","Iron Man. El Hombre de Hierro","Iron Man",https://www.imdb.com/title/tt0371746/,Película,7.9,126,2008,"Acción, Aventura, Ciencia ficción",1166611,2008-04-30,"Jon Favreau"
101,tt0480025,2022-03-18,2022-03-18,,"This Is England","This Is England",https://www.imdb.com/title/tt0480025/,Película,7.7,101,2006,"Crimen, Drama",131634,2007-04-27,"Shane Meadows"
