1,nm0001705,2023-04-30,2023-04-30,,"Rob Schneider","Deuce Bigalow: Male Gigolo","31 de octubre de 1963"
2,nm0005110,2023-04-30,2023-04-30,,"Ashton Kutcher","That '70s Show","7 de febrero de 1978"
3,nm0416673,2023-04-30,2023-04-30,,"Kevin James","Paul Blart: Mall Cop","26 de abril de 1965"
4,nm1210124,2023-04-30,2023-04-30,,"Taylor Lautner","Twilight","11 de febrero de 1992"
5,nm0005450,2023-04-30,2023-04-30,,"David Spade","Joe Dirt","22 de julio de 1964"
6,nm0841910,2023-04-30,2023-04-30,,"Nick Swardson","Grandma's Boy","9 de octubre de 1976"
7,nm0641944,2023-04-30,2023-04-30,,"Shaquille O'Neal","Steel","6 de marzo de 1972"
8,nm1429908,2023-04-30,2023-04-30,,"LeBron James","Space Jam: A New Legacy","30 de diciembre de 1984"
9,nm0446622,2023-04-30,2023-04-30,,"Colson Baker","The Dirt","22 de abril de 1990"
10,nm1249256,2023-04-30,2023-04-30,,"Larry the Cable Guy","Cars","17 de febrero de 1963"
11,nm1347153,2023-04-30,2023-04-30,,"Tyler Perry","Diary of a Mad Black Woman","14 de septiembre de 1969"
12,nm0005379,2023-04-30,2023-04-30,,"Dennis Rodman","Double Team","13 de mayo de 1961"
13,nm1535523,2023-04-30,2023-04-30,,"Jaden Smith","The Karate Kid","8 de julio de 1998"
14,nm0005541,2023-04-30,2023-04-30,,"Marlon Wayans","White Chicks","23 de julio de 1972"
15,nm0915465,2023-04-30,2023-04-30,,"Shawn Wayans","White Chicks","19 de enero de 1971"
16,nm0004695,2023-04-30,2023-04-30,,"Jessica Alba","Fantastic Four","28 de abril de 1981"
17,nm0240381,2023-04-30,2023-04-30,,"Hilary Duff","A Cinderella Story","28 de septiembre de 1987"
18,nm2230865,2023-04-30,2023-04-30,,"Ashley Greene","Twilight","21 de febrero de 1987"
19,nm1410318,2023-04-30,2023-04-30,,"Omar Chaparro","No manches Frida","26 de noviembre de 1974"
20,nm2207222,2023-04-30,2023-04-30,,"Scott Eastwood","Suicide Squad","21 de marzo de 1986"
21,nm0004874,2023-04-30,2023-04-30,,"Vin Diesel","The Fast and the Furious","18 de julio de 1967"
22,nm0241049,2023-04-30,2023-04-30,,"Josh Duhamel","Transformers","14 de noviembre de 1972"
23,nm1083271,2023-04-30,2023-04-30,,"Megan Fox","Transformers","16 de mayo de 1986"
24,nm2796745,2023-04-30,2023-04-30,,"Adam Devine","Pitch Perfect","7 de noviembre de 1983"
25,nm2064412,2023-04-30,2023-04-30,,"Robbie Amell","Upload","21 de abril de 1988"
26,nm0913475,2023-04-30,2023-04-30,,"John David Washington","Tenet","28 de julio de 1984"
27,nm1717152,2023-04-30,2023-04-30,,"Jackson Rathbone","Twilight","14 de diciembre de 1984"
28,nm2443758,2023-04-30,2023-04-30,,"Nicola Peltz Beckham","Lola","9 de enero de 1995"
29,nm0665235,2023-04-30,2023-04-30,,"Elsa Pataky","Furious 6","18 de julio de 1976"
30,nm4089170,2023-04-30,2023-04-30,,"Harry Styles","Dunkirk","1 de febrero de 1994"
31,nm11110971,2023-04-30,2023-04-30,,"Anna-Maria Sieklucka","365 dni","31 de mayo de 1992"
32,nm9016108,2023-04-30,2023-04-30,,"Michele Morrone","365 dni","3 de octubre de 1990"
33,nm0001337,2023-04-30,2023-04-30,,"Katherine Heigl","One for the Money","24 de noviembre de 1978"
34,nm0000612,2023-04-30,2023-04-30,,"Denise Richards","The World Is Not Enough","17 de febrero de 1971"
35,nm0159789,2023-04-30,2023-04-30,,"Hayden Christensen","Star Wars: Episode II - Attack of the Clones","19 de abril de 1981"
36,nm0000331,2023-04-30,2023-04-30,,"Chevy Chase","Memoirs of an Invisible Man","8 de octubre de 1943"
37,nm0258402,2023-04-30,2023-04-30,,"Mike Epps","Resident Evil: Apocalypse","18 de noviembre de 1970"
38,nm0000170,2023-04-30,2023-04-30,,"Milla Jovovich","The Fifth Element","17 de diciembre de 1975"
39,nm0001629,2023-04-30,2023-04-30,,"Kevin Pollak","The Usual Suspects","30 de octubre de 1957"
40,nm0000219,2023-04-30,2023-04-30,,"Steven Seagal","On Deadly Ground","10 de abril de 1952"
41,nm0001287,2023-04-30,2023-04-30,,"Heather Graham","Austin Powers: The Spy Who Shagged Me","29 de enero de 1970"
42,nm0131647,2023-04-30,2023-04-30,,"Kirk Cameron","Growing Pains","12 de octubre de 1970"
43,nm0000187,2023-04-30,2023-04-30,,"Madonna","A League of Their Own","16 de agosto de 1958"
44,nm0461498,2023-04-30,2023-04-30,,"Beyoncé","Dreamgirls","4 de septiembre de 1981"
45,nm0005561,2023-04-30,2023-04-30,,"Luke Wilson","The Royal Tenenbaums","21 de septiembre de 1971"
46,nm0005017,2023-04-30,2023-04-30,,"Katie Holmes","Disturbing Behavior","18 de diciembre de 1978"
47,nm1764351,2023-04-30,2023-04-30,,"Nicky Whelan","Hall Pass","10 de mayo de 1981"
48,nm0000185,2023-04-30,2023-04-30,,"Dolph Lundgren","Rocky IV","3 de noviembre de 1957"
49,nm0001736,2023-04-30,2023-04-30,,"Pauly Shore","Encino Man","1 de febrero de 1968"
50,nm0341176,2023-04-30,2023-04-30,,"Eddie Griffin","Deuce Bigalow: Male Gigolo","15 de julio de 1968"
51,nm3180472,2023-04-30,2023-04-30,,"Alan Bagh","The Book of Boba Fett","30 de mayo de 1985"
52,nm0000572,2023-04-30,2023-04-30,,"Sarah Jessica Parker","Sex and the City","25 de marzo de 1965"
53,nm0000224,2023-04-30,2023-04-30,,"Alicia Silverstone","Clueless","4 de octubre de 1976"
54,nm0001068,2023-04-30,2023-04-30,,"Sofia Coppola","The Godfather Part III","14 de mayo de 1971"
55,nm0517820,2023-04-30,2023-04-30,,"Lindsay Lohan","The Parent Trap","2 de julio de 1986"
56,nm0000221,2023-04-30,2023-04-30,,"Charlie Sheen","Two and a Half Men","3 de septiembre de 1965"
57,nm1242688,2023-04-30,2023-04-30,,"Josh Hutcherson","The Hunger Games","12 de octubre de 1992"
58,nm1265802,2023-04-30,2023-04-30,,"Josh Gad","Frozen","23 de febrero de 1981"
59,nm0000421,2023-04-30,2023-04-30,,"Cuba Gooding Jr.","Jerry Maguire","2 de enero de 1968"
60,nm0001326,2023-04-30,2023-04-30,,"Josh Hartnett","Lucky Number Slevin","21 de julio de 1978"
61,nm0333410,2023-04-30,2023-04-30,,"Topher Grace","In Good Company","12 de julio de 1978"
62,nm0879085,2023-04-30,2023-04-30,,"Tyrese Gibson","Baby Boy","30 de diciembre de 1978"
63,nm1553725,2023-04-30,2023-04-30,,"Kellan Lutz","The Twilight Saga: Eclipse","15 de marzo de 1985"
64,nm0005048,2023-04-30,2023-04-30,,"Thomas Jane","Deep Blue Sea","22 de febrero de 1969"
65,nm1641117,2023-04-30,2023-04-30,,"Alex Pettyfer","Magic Mike","10 de abril de 1990"
66,nm2578007,2023-04-30,2023-04-30,,"Kim Kardashian","Temptation: Confessions of a Marriage Counselor","21 de octubre de 1980"
67,nm0000326,2023-04-30,2023-04-30,,"Kim Cattrall","Sex and the City 2","21 de agosto de 1956"
68,nm0004862,2023-04-30,2023-04-30,,"Kristin Davis","Sex and the City 2","23 de febrero de 1965"
69,nm0633223,2023-04-30,2023-04-30,,"Cynthia Nixon","Sex and the City 2","9 de abril de 1966"
70,nm0015196,2023-04-30,2023-04-30,,"Malin Akerman","Watchmen","12 de mayo de 1978"
71,nm0000551,2023-04-30,2023-04-30,,"Dermot Mulroney","My Best Friend's Wedding","31 de octubre de 1963"
72,nm0000131,2023-04-30,2023-04-30,,"John Cusack","Grosse Pointe Blank","28 de junio de 1966"
73,nm0000202,2023-04-30,2023-04-30,,"Ryan Phillippe","Crash","10 de septiembre de 1974"
74,nm0193846,2023-04-30,2023-04-30,,"Elisha Cuthbert","The Girl Next Door","30 de noviembre de 1982"
75,nm0000192,2023-04-30,2023-04-30,,"Alyssa Milano","Charmed","19 de diciembre de 1972"
76,nm0005346,2023-04-30,2023-04-30,,"Tara Reid","American Pie","8 de noviembre de 1975"
77,nm0001182,2023-04-30,2023-04-30,,"Carmen Electra","Scary Movie 4","20 de abril de 1972"
78,nm0338381,2023-04-30,2023-04-30,,"Tom Green","Freddy Got Fingered","30 de julio de 1971"
79,nm0005433,2023-04-30,2023-04-30,,"Jessica Simpson","The Dukes of Hazzard","10 de julio de 1980"
80,nm0000741,2023-05-01,2023-05-01,,"Tim Allen","Toy Story","13 de junio de 1953"
81,nm0000225,2023-05-01,2023-05-01,,"Christian Slater","Very Bad Things","18 de agosto de 1969"
82,nm0000274,2023-05-01,2023-05-01,,"David Arquette","Scream 3","8 de septiembre de 1971"
83,nm1415323,2023-05-01,2023-05-01,,"Miley Cyrus","Hannah Montana","23 de noviembre de 1992"
84,nm0005327,2023-05-04,2023-05-04,,"Freddie Prinze Jr.","She's All That","8 de marzo de 1976"
85,nm2395937,2023-05-06,2023-05-06,,"Brooklyn Decker","Just Go with It","12 de abril de 1987"
86,nm1982597,2023-05-06,2023-05-06,,"Rihanna","Battleship","20 de febrero de 1988"
87,nm0000182,2023-05-06,2023-05-06,,"Jennifer Lopez","Hustlers","24 de julio de 1969"
88,nm0005154,2023-05-06,2023-05-06,,"Lucy Liu","Kill Bill: Vol. 1","2 de diciembre de 1968"
89,nm0000586,2023-05-12,2023-05-12,,"Jada Pinkett Smith","The Matrix Revolutions","18 de septiembre de 1971"
90,nm0524839,2023-05-12,2023-05-12,,"Ludacris","Crash","11 de septiembre de 1977"
91,nm0004754,2023-05-12,2023-05-12,,"Jessica Biel","The Illusionist","3 de marzo de 1982"
92,nm3092471,2023-05-12,2023-05-12,,"Marwan Kenzari","Aladdin","16 de enero de 1983"
93,nm1330560,2023-05-12,2023-05-12,,"Garrett Hedlund","Tron: Legacy","3 de septiembre de 1984"
94,nm0005527,2023-05-12,2023-05-12,,"Sofía Vergara","Hot Pursuit","10 de julio de 1972"
95,nm0179479,2023-05-12,2023-05-12,,"James Corden","The Late Late Show with James Corden","22 de agosto de 1978"
96,nm2554352,2023-05-12,2023-05-12,,"T.J. Miller","Silicon Valley","4 de junio de 1981"
97,nm0267506,2023-05-12,2023-05-12,,"Anna Faris","The House Bunny","29 de noviembre de 1976"
98,nm2955013,2023-05-12,2023-05-12,,"Liam Hemsworth","The Hunger Games","13 de enero de 1990"
99,nm2018237,2023-05-12,2023-05-12,,"Taylor Kitsch","X-Men Origins: Wolverine","8 de abril de 1981"
100,nm1720028,2023-05-12,2023-05-12,,"Amber Heard","Aquaman","22 de abril de 1986"
101,nm0000189,2023-05-12,2023-05-12,,"Jenny McCarthy-Wahlberg","Dirty Love","1 de noviembre de 1972"
102,nm0001073,2023-05-12,2023-05-12,,"Courteney Cox","Friends","15 de junio de 1964"
103,nm0068166,2023-05-15,2023-05-15,,"Drake Bell","Drake & Josh","27 de junio de 1986"
104,nm0858776,2023-05-15,2023-05-15,,"Eddie Kaye Thomas","American Pie","31 de octubre de 1980"
105,nm0005134,2023-05-15,2023-05-15,,"Jason Lee","Almost Famous","25 de abril de 1970"
106,nm0000222,2023-05-15,2023-05-15,,"Brooke Shields","The Blue Lagoon","31 de mayo de 1965"
107,nm0054697,2023-05-16,2023-05-16,,"Ike Barinholtz","Suicide Squad","18 de febrero de 1977"
108,nm2154960,2023-05-16,2023-05-16,,"Amy Schumer","Trainwreck","1 de junio de 1981"
109,nm2313103,2023-05-16,2023-05-16,,"Rebel Wilson","Senior Year","2 de marzo"
110,nm0005123,2023-05-16,2023-05-16,,"Ali Larter","Final Destination","28 de febrero de 1976"
111,nm9859888,2023-05-22,2023-05-22,,"Jack Harlow","F9","13 de marzo de 1998"
112,nm2928381,2023-06-01,2023-06-01,,"Lucas Cruikshank","Fred","29 de agosto de 1993"
113,nm1842439,2023-06-01,2023-06-01,,"Victoria Justice","Victorious","19 de febrero de 1993"
114,nm1944055,2023-06-06,2023-06-06,,"Lauren Lapkus","The Wrong Missy","6 de septiembre de 1985"
115,nm1395771,2023-06-09,2023-06-09,,"Lucas Till","X: First Class","10 de agosto de 1990"
116,nm0573037,2023-06-09,2023-06-09,,"Julian McMahon","Fantastic Four","27 de julio de 1968"
117,nm0524197,2023-06-13,2023-06-13,,"Josh Lucas","Ford v Ferrari","20 de junio de 1971"
118,nm0836343,2023-06-13,2023-06-13,,"Jim Sturgess","21","16 de mayo de 1978"
119,nm0005405,2023-06-14,2023-06-14,,"Seann William Scott","American Pie","3 de octubre de 1976"
120,nm0385296,2023-07-03,2023-07-03,,"Paris Hilton","The Hottie & the Nottie","17 de febrero de 1981"
121,nm0001349,2023-07-03,2023-07-03,,"Jennifer Love Hewitt","I Know What You Did Last Summer","21 de febrero de 1979"
122,nm0925220,2023-07-03,2023-07-03,,"Michael Jai White","Black Dynamite","10 de noviembre de 1967"
123,nm0001014,2023-07-04,2023-07-04,,"Mariah Carey","Glitter","27 de marzo de 1969"
124,nm1382072,2023-07-04,2023-07-04,,"Tommy Wiseau","The Room","3 de octubre"
125,nm1423955,2023-07-05,2023-07-05,,"Lucy Hale","Truth or Dare","14 de junio de 1989"
126,nm8212878,2023-07-05,2023-07-05,,"Ella Balinska","Charlie's Angels","4 de octubre"
127,nm1070597,2023-07-05,2023-07-05,,"The Weeknd","The Idol","16 de febrero de 1990"
128,nm1231899,2023-07-10,2023-07-10,,"Priyanka Chopra Jonas","Barfi!","18 de julio de 1982"
129,nm0001084,2023-08-06,2023-08-06,,"Ice Cube","Untitled Patrick Aiello/Timur Bekmambetov Sci-FI Pic","15 de junio de 1969"
130,nm2541974,2023-08-06,2023-08-06,,"Jai Courtney","Terminator Genisys","15 de marzo de 1986"
131,nm3199307,2023-08-11,2023-08-11,,"Ruby Rose","Orange Is the New Black","20 de marzo de 1986"
132,nm1015262,2023-08-11,2023-08-11,,"Leighton Meester","The Roommate","9 de abril de 1986"
133,nm2608689,2023-09-13,2023-09-13,,"Ellie Kemper","Bridesmaids","2 de mayo de 1980"
134,nm1172285,2023-09-13,2023-09-13,,"Martha Higareda","Altered Carbon","24 de agosto"
135,nm0386472,2023-09-15,2023-09-15,,"Emile Hirsch","Into the Wild","13 de marzo de 1985"
136,nm0042524,2023-09-15,2023-09-15,,"Steve Austin","The Longest Yard","18 de diciembre de 1964"
137,nm0154226,2023-09-19,2023-09-19,,"Justin Chatwin","Dragonball Evolution","31 de octubre de 1982"
138,nm1265067,2023-10-05,2023-10-05,,"50 Cent","Get Rich or Die Tryin'","6 de julio de 1975"
139,nm0006969,2023-10-05,2023-10-05,,"Elizabeth Banks","The Hunger Games","10 de febrero de 1974"
140,nm1566368,2023-10-28,2023-10-28,,"Regina Blandón","Con los años que me quedan","25 de julio de 1990"
141,nm2588665,2024-02-17,2024-02-17,,"Tahar Rahim","Un prophète","4 de julio de 1981"
142,nm0613147,2024-06-07,2024-06-07,,"Lochlyn Munro","Freddy vs. Jason","12 de febrero de 1966"
